"id";"question";"option_one";"option_two";"option_three";"option_four";"correct_answer";"certificate_type"
1;"Which of the following is true about the V-model?";"It has the same steps as the waterfall model for software development.";"It is referred to as a cyclical model for software development.";"It enables the production of a working version of the system as early as possible.";"It enables test planning to start as early as possible.";4;"CTFL"
2;"Which of the following is true of iterative development?";"It uses fully defined specifications from the start.";"It involves the users in the testing throughout.";"Changes to the system do not need to be formally recorded.";"It is not suitable for developing websites.";2;"CTFL"
3;"Which of the following is in the correct order (typically)?";"Unit testing, system testing, acceptance testing, maintenance testing.";"System testing, unit testing, acceptance testing, maintenance testing.";"Acceptance testing, system testing, maintenance testing, unit testing.";"Unit testing, maintenance testing, system testing, acceptance testing.";1;
4;"Which of the following is usually the test basis for integration testing?";"Program specification";"Functional specification";"Technical specification";"Requirement specification";3;
5;"A top-down development strategy affects which level of testing most?";"Component testing";"Integration testing";"System testing";"User acceptance testing";2;
6;"Which of the following is a non-functional requirement?";"The system will enable users to buy books.";"The system will allow users to return books.";"The system will ensure security of the customer details.";"The system will allow up to 100 users to log in at the same time.";4;
7;"Which of the following are examples of iterative development models?
(i) V-model
(ii) Rapid Application Development model
(iii)Waterfall model
(iv) Agile development model";"(i) and (ii)";"(ii) and (iii)";"(ii) and (iv)";"(iii) and (iv)";3;
8;"Which of the following statements are true?
(i) For every development activity there is a corresponding testing activity.
(ii) Each test level has the same test objectives.
(iii) The analysis and design of tests for a given test level should begin after the corresponding development activity.
(iv) Testers should be involved in reviewing documents as soon as drafts are available in the development life cycle.";"(i) and (ii)";"(iii) and (iv)";"(ii) and (iii)";"(i) and (iv)";4;
9;"Which of the following is not true of regression testing?
a) It can be carried out at each stage of the life cycle.
b) It serves to demonstrate that the changed software works as intended.
c) It serves to demonstrate that software has not been unintentionally changed.
d) It is often automated.";"a";"b";"c";"d";2;
10;"Which of the following is true of the V-model?";"It states that modules are tested against user requirements.";"It only models the testing phase.";"It specifies the test techniques to be used.";"It includes the verification of designs. ";4;
11;"Integration testing in the small:";"tests the individual components that have been developed.";"tests interactions between modules or subsystems.";"only uses components that form part of the live system.";"tests interfaces to other systems.";2;
12;"Alpha testing is:
a)post-release testing by end user representatives at the developerﾒs site.
b)the first testing that is performed.
c)pre-release testing by end user representatives at the developerﾒs site.
d)pre-release testing by end user representatives at their sites.";"a";"b";"c";"d";3;
13;"Which one of the following are non-functional testing methods?";"System testing";"Usability testing";"Performance testing";"Both b & c";4;
14;"Acceptance test cases are based on what?";"Requirements";"Design";"Code";"Decision table";1;
15;"A deviation from the specified or expected behaviour that is visible to end-users is called";"An error";"A fault";"A failure";"A defect";3;
16;"Regression testing should be performed:

v) every week
w) after the software has changed
x) as often as possible
y) when the environment has changed 
z) when the project manager says";"v & w are true, x, y & z are false";"w, x & y are true, v & z are false";"w & y are true, v, x & z are false";"w is true, v, x, y & z are false";3;
17;"IEEE 829 test plan documentation standard contains all of the following excep";"a) test items";"b) test deliverables";"c) test tasks";"d) test specifications";4;
18;"When should testing be stopped?";"a) when all the planned tests have been run";"b) when time has run out";"c) when all faults have been fixed correctly";"d) it depends on the risks for the system being tested";4;
19;"Order numbers on a stock control system can range between 10000 and 99999 inclusive. Which of the following inputs might be a result of designing tests for only valid equivalence classes and valid boundaries?";"a) 1000, 50000, 99999";"b) 9999, 50000, 100000";"c) 10000, 50000, 99999";"d) 10000, 99999, 100000";3;
20;"Consider the following statements about early test design:

i. early test design can prevent fault multiplication
ii. faults found during early test design are more expensive to fix
iii. early test design can find faults
iv. early test design can cause changes to the requirements
v. early test design normally takes more effort";"a) i, iii & iv are true;  ii & v are false";"b) iii & iv are true;  i, ii & v are false";"c) i, iii, iv & v are true;  ii is false";"d) i & ii are true;  iii, iv & v are false";1;
21;"Non-functional system testing includes:";"a) testing to see where the system does not function correctly";"b) testing quality attributes of the system including performance and usability";"c) testing a system function using only the software required for that function";"d) testing for functions that should not exist";2;
22;"Which of the following is NOT part of configuration management?";"a) auditing conformance to ISO 9000 ";"b) status accounting of configuration items";"c) identification of test versions";"d) controlled library access";1;
23;"Which of the following is the main purpose of the integration strategy for integration testing in the small?";"a) to ensure that all of the small modules are tested adequately";"b) to ensure that the system interfaces to other systems and networks";"c) to specify which modules to combine when, and how many at once";"d) to specify how the software should be divided into modules";3;
24;"What is the purpose of a test completion criterion?";"a) to know when a specific test has finished its execution";"b) to ensure that the test case specification is complete";"c) to set the criteria used in generating test inputs";"d) to determine when to stop testing";4;
25;"Consider the following statements:

i. an incident may be closed without being fixed.
ii. incidents may not be raised against documentation.
iii. the final stage of incident tracking is fixing.
iv. the incident record does not include information on test environments.";"a) ii is true, i, iii and iv are false";"b) i is true, ii, iii and iv are false";"c) i and iv are true, ii and iii are false";"d) i and ii are true, iii and iv are false";2;
26;"Given the following code, which statement is true about the minimum number of test cases required for full statement and branch coverage?

Read p
Read q
IF p+q > 100 THEN
 Print ""Large""
ENDIF
IF p > 50 THEN
 Print ""p Large""
ENDIF";"a) 1 test for statement coverage, 3 for branch coverage";"b) 1 test for statement coverage, 2 for branch coverage";"c) 1 test for statement coverage, 1 for branch coverage";"d) 2 tests for statement coverage, 2 for branch coverage";2;
27;"Consider the following statements:

i. 100% statement coverage guarantees 100% branch coverage.
ii. 100% branch coverage guarantees 100% statement coverage.
iii. 100% branch coverage guarantees 100% decision coverage.
iv. 100% decision coverage guarantees 100% branch coverage.
v. 100% statement coverage guarantees 100% decision coverage.";"a) ii is True;  i, iii, iv & v are False";"b) i & v are True;  ii, iii & iv are False";"c) ii & iii are True;  i, iv & v are False";"d) ii, iii & iv are True;  i & v are False";4;
28;"Functional system testing is:";"a) testing that the system functions with other systems";"b) testing that the components that comprise the system function together";"c) testing the end to end functionality of the system as a whole";"d) testing the system performs functions within specified response times";3;
29;"Incidents would not be raised against:";"a) requirements";"b) documentation";"c) test cases";"d) improvements suggested by users";4;
30;"Which of the following items would not come under Configuration Management?";"a) operating systems";"b) test documentation";"c) live data";"d) user requirement documents";3;
31;"Maintenance testing is:";"a) updating tests when the software has changed";"b) testing a released system that has been changed";"c) testing by users to ensure that the system meets a business need";"d) testing to maintain business advantage";2;
32;"What can static analysis NOT find?";"a) the use of a variable before it has been defined";"b) unreachable (ﾓdeadﾔ) code";"c) memory leaks";"d) array bound violations";3;
33;"Which of the following techniques is NOT a black box technique?";"a) state transition testing";"b) LCSAJ";"c) syntax testing";"d) boundary value analysis";2;
34;"Beta testing is:";"a) performed by customers at their own site";"b) performed by customers at the software developer's site";"c) performed by an Independent Test Team";"d) performed as early as possible in the lifecycle";1;
35;"Given the following types of tool, which tools would typically be used by developers, and which by an independent system test team?

i. static analysis
ii. performance testing
iii. test management
iv. dynamic analysis";"a) developers would typically use i and iv;  test team ii and iii";"b) developers would typically use i and iii;  test team ii and iv";"c) developers would typically use ii and iv;  test team i and iii";"d) developers would typically use i, iii and iv;  test team ii";1;
36;"The main focus of acceptance testing is:";"a) finding faults in the system";"b) ensuring that the system is acceptable to all users";"c) testing the system with other systems";"d) testing from a business perspective";4;
37;"Which of the following statements about component testing is FALSE?";"a) black box test design techniques all have an associated test measurement technique";"b) white box test design techniques all have an associated test measurement technique";"c) cyclomatic complexity is not a test measurement technique";"d) black box test measurement techniques all have an associated test design technique";1;
38;"Which of the following statements is NOT true?";"a) inspection is the most formal review process";"b) inspections should be led by a trained leader";"c) managers can perform inspections on management documents";"d) inspection is appropriate even when there are no written documents";4;
39;"A typical commercial test execution tool would be able to perform all of the following, EXCEPT:";"a) calculating expected outputs";"b) comparison of expected outcomes with actual outcomes";"c) recording test inputs";"d) reading test values from a data file";1;
40;"The difference between re-testing and regression testing is:";"a) re-testing ensures the original fault has been removed;  regression testing looks for unexpected side-effects";"b) re-testing looks for unexpected side-effects;  regression testing ensures the original fault has been removed ";"c) re-testing is done after faults are fixed;  regression testing is done earlier";"d) re-testing is done by developers;  regression testing is done by independent testers";1;
41;"Expected results are:";"a) only important in system testing";"b) only used in component testing";"c) most useful when specified in advance";"d) derived from the code";3;
42;"What type of review requires formal entry and exit criteria, including metrics:";"a) walkthrough";"b) inspection";"c) management review";"d) post project review";2;
43;"Which of the following uses Impact Analysis most?";"a) component testing";"b) non-functional system testing";"c) user acceptance testing";"d) maintenance testing";4;
44;"What is NOT included in typical costs for an inspection process?";"a) setting up forms and databases";"b) analysing metrics and improving processes";"c) writing the documents to be inspected";"d) time spent on the document outside the meeting";3;
45;"Which of the following is NOT a reasonable test objective:";"a) to find faults in the software";"b) to prove that the software has no faults";"c) to give confidence in the software";"d) to find performance problems";2;
